Date,"Flu","Sinusitis","Fatigue","Feeling cold","Bronchitis","Pneumonia","Headache","Congestion","Chest pain","Soar throat"
2021-08-15,45,1606,476,0,1615,5511,526,17,605,0
2021-08-16,63,1798,566,0,1825,5697,714,19,627,1
2021-08-17,57,1801,484,0,2100,5804,732,28,604,0
2021-08-18,52,1765,492,0,2066,5765,658,27,604,0
2021-08-19,65,1668,528,0,2105,6701,709,14,589,0
2021-08-20,67,1675,488,0,1971,6225,679,20,621,0
2021-08-21,45,1465,373,1,1719,5890,604,22,611,0
2021-08-22,49,1583,427,0,1673,5614,635,11,650,0
2021-08-23,79,1742,593,0,1843,5880,809,17,695,2
2021-08-24,73,1680,542,0,2006,5843,688,24,635,0
2021-08-25,65,1610,525,0,2214,5749,704,25,655,0
2021-08-26,75,1545,556,0,2133,5446,673,30,662,1
2021-08-27,48,1414,457,0,1930,5692,642,23,589,0
2021-08-28,52,1358,460,1,1772,5431,605,17,574,0
2021-08-29,55,1374,507,0,1626,5433,597,18,586,1
2021-08-30,75,1702,460,0,1705,5945,639,24,692,0
2021-08-31,66,1648,550,0,1899,5861,684,25,668,0
2021-09-01,46,1718,537,1,2222,6249,690,32,636,0
2021-09-02,81,1625,493,0,2169,5887,673,22,699,0
2021-09-03,73,1517,454,0,1918,5704,626,22,595,0
2021-09-04,70,1440,427,1,1713,5404,580,26,620,0
2021-09-05,61,1438,402,0,1723,5394,596,32,567,0
2021-09-06,65,1583,467,2,2111,5661,695,25,634,0
2021-09-07,86,1716,481,0,2214,5306,634,32,621,0
2021-09-08,66,1805,532,0,2213,5298,622,24,719,0
2021-09-09,67,1807,479,0,2417,5078,613,27,689,0
2021-09-10,73,1747,450,0,881,4970,601,13,577,0
2021-09-11,52,1569,413,0,733,4626,475,25,586,0
2021-09-12,63,1569,422,0,786,4915,590,17,578,0
2021-09-13,92,1914,467,0,900,5129,643,30,728,1
2021-09-14,93,1883,529,0,876,4972,610,43,636,1
2021-09-15,66,1916,532,0,825,5014,674,18,650,0
2021-09-16,63,1797,522,1,2116,4959,655,24,571,0
2021-09-17,70,1742,448,0,2131,4886,599,21,557,0
2021-09-18,53,1520,472,0,1892,4558,555,22,539,1
2021-09-19,46,1576,454,0,1985,4985,532,18,586,0
2021-09-20,62,1815,481,0,1975,5620,633,30,716,1
2021-09-21,50,1828,523,0,2072,5351,614,28,620,0
2021-09-22,66,1867,502,0,2176,5393,671,37,590,1
2021-09-23,69,1830,448,0,2222,5220,680,33,541,0
2021-09-24,57,1693,428,0,2023,5105,636,23,636,1
2021-09-25,44,1396,381,0,1671,5006,550,31,580,0
2021-09-26,32,1569,382,0,1826,4831,561,31,585,0
2021-09-27,52,1835,486,0,1994,5042,694,29,746,0
2021-09-28,89,1903,501,0,2158,5296,699,23,750,0
2021-09-29,50,1807,454,0,1989,5316,669,34,700,1
2021-09-30,52,1889,459,0,2201,5203,690,26,705,1
2021-10-01,54,1841,441,0,2088,4887,555,19,561,0
2021-10-02,47,1995,374,0,1810,5031,561,15,665,1
2021-10-03,46,2542,416,0,1884,5123,596,16,708,1
2021-10-04,64,2280,442,0,2046,5592,651,26,785,0
2021-10-05,59,2237,440,1,2065,5465,618,31,667,0
2021-10-06,81,1971,471,0,2291,5953,644,21,655,0
2021-10-07,56,2185,482,0,2193,6285,636,32,624,0
2021-10-08,59,1917,375,0,2035,6277,570,16,614,0
2021-10-09,57,1840,395,0,1883,5575,524,26,576,0
2021-10-10,63,1603,400,0,1893,5900,625,14,578,0
2021-10-11,60,2185,429,0,2017,6313,744,33,780,0
2021-10-12,58,2046,413,0,2217,6479,743,21,725,0
2021-10-13,69,2100,432,0,2282,6382,683,26,632,1
2021-10-14,63,1962,445,0,2278,6968,663,30,660,1
2021-10-15,62,1914,410,0,2099,6575,552,18,630,0
2021-10-16,39,1665,398,0,1875,6440,518,16,557,0
2021-10-17,58,1672,425,0,1960,6273,602,30,563,0
2021-10-18,65,1977,470,0,2137,6665,631,24,683,2
2021-10-19,79,2024,427,0,2262,6139,668,26,699,0
2021-10-20,53,1976,409,0,2645,6152,596,18,740,0
2021-10-21,61,1901,446,0,2504,6267,618,43,661,1
2021-10-22,52,1874,416,0,2170,5786,629,19,600,0
