Date,"Acute exacerbation of chronic obstructive pulmonary disease","Paracetamol","1580 influenza pandemic","Spanish flu","2017–2018 United States flu season","2007 Bernard Matthews H5N1 outbreak","2006 H5N1 outbreak in India","2008 H5N1 outbreak in West Bengal","Antigen","1977 Russian flu"
2017-08-12,188,4542,0,147,0,11,6,5,685,0
2017-08-13,210,4486,0,127,0,6,4,2,791,0
2017-08-14,258,5053,0,480,0,8,16,7,883,0
2017-08-15,271,5074,0,288,0,4,10,7,1002,0
2017-08-16,269,4939,0,182,0,11,20,4,1028,0
2017-08-17,292,5003,0,165,0,14,18,6,1027,0
2017-08-18,214,4536,0,189,0,8,16,6,881,0
2017-08-19,225,4353,0,180,0,2,10,1,762,0
2017-08-20,208,4521,0,243,0,5,13,1,825,0
2017-08-21,269,4917,0,191,0,4,7,0,990,0
2017-08-22,298,5018,0,180,0,6,16,6,1020,0
2017-08-23,296,4970,0,153,0,9,11,4,1141,0
2017-08-24,296,4836,0,158,0,8,9,4,927,0
2017-08-25,232,4375,0,132,0,7,6,3,811,0
2017-08-26,223,3974,0,164,0,4,5,2,756,0
2017-08-27,241,4159,0,121,0,5,11,0,840,0
2017-08-28,281,4890,0,146,0,5,19,4,1022,0
2017-08-29,313,5064,0,152,0,13,7,2,1051,0
2017-08-30,295,4842,0,131,0,11,8,4,1132,0
2017-08-31,259,4718,0,135,0,10,16,3,999,0
2017-09-01,195,4251,0,119,0,6,12,3,851,0
2017-09-02,144,4078,0,112,0,2,4,0,748,0
2017-09-03,170,4347,0,133,0,4,13,3,774,0
2017-09-04,314,4672,0,140,0,8,3,0,975,0
2017-09-05,261,4992,0,133,0,16,9,6,1156,0
2017-09-06,297,5168,0,165,0,12,13,4,1236,0
2017-09-07,276,5241,0,206,0,10,15,0,1293,0
2017-09-08,227,4790,0,172,0,13,11,4,1141,0
2017-09-09,207,4433,0,108,0,4,9,2,872,0
2017-09-10,240,4776,0,156,0,8,12,5,1039,0
2017-09-11,269,5265,0,151,0,8,10,2,1252,0
2017-09-12,284,5373,0,145,0,8,10,4,1416,0
2017-09-13,336,5429,0,139,0,9,6,3,1374,0
2017-09-14,304,5371,0,135,0,4,12,5,1354,0
2017-09-15,242,4933,0,122,0,12,11,5,1157,0
2017-09-16,190,4790,0,122,0,5,10,3,885,0
2017-09-17,239,4991,0,139,0,5,12,6,1083,0
2017-09-18,351,5632,0,149,0,8,9,4,1256,0
2017-09-19,319,5775,0,133,0,31,5,2,1448,0
2017-09-20,377,5748,0,161,0,19,11,4,1360,0
2017-09-21,323,5563,0,148,0,7,8,6,1345,0
2017-09-22,259,4992,0,141,0,16,8,6,1234,0
2017-09-23,248,4497,0,125,0,9,6,4,933,0
2017-09-24,218,4733,0,140,0,6,3,6,1002,0
2017-09-25,315,5119,0,163,0,11,10,6,1279,0
2017-09-26,336,5305,0,162,0,14,11,9,1370,0
2017-09-27,330,5430,0,135,0,14,5,3,1322,0
2017-09-28,317,5153,0,152,0,24,10,1,1204,0
2017-09-29,298,4655,0,144,0,10,10,5,1031,0
2017-09-30,251,4421,0,102,0,5,4,7,821,0
2017-10-01,335,4629,0,138,0,6,4,1,982,0
2017-10-02,330,5466,0,174,0,7,4,5,1293,0
2017-10-03,313,5440,0,163,0,11,8,5,1394,0
2017-10-04,325,5710,0,189,0,11,6,3,1401,0
2017-10-05,342,5404,0,144,0,8,8,4,1374,0
2017-10-06,314,4946,0,133,0,11,3,5,1108,0
2017-10-07,219,4596,0,137,0,7,4,6,987,0
2017-10-08,262,4782,0,132,0,10,5,4,1097,0
2017-10-09,272,5641,0,178,0,9,14,2,1372,0
2017-10-10,314,5554,0,202,0,13,14,8,1424,0
2017-10-11,346,5568,0,163,0,13,10,5,1440,0
2017-10-12,291,5437,0,304,0,9,9,5,1339,0
2017-10-13,263,5002,0,195,0,16,9,2,1188,0
2017-10-14,231,4650,0,181,0,9,4,10,1006,0
2017-10-15,286,4932,0,184,0,11,7,6,1122,0
2017-10-16,334,5737,0,182,0,11,9,6,1331,0
2017-10-17,330,5494,0,297,0,7,5,8,1493,0
2017-10-18,354,5270,0,182,0,5,4,8,1369,0
2017-10-19,285,5268,0,243,0,7,3,3,1300,0
2017-10-20,308,4804,0,127,0,16,6,6,1105,0
2017-10-21,230,4463,0,139,0,11,10,8,953,0
2017-10-22,251,4926,0,176,0,12,4,3,1116,0
2017-10-23,368,5578,0,186,0,8,6,5,1477,0
2017-10-24,358,5909,0,166,0,11,9,8,1550,0
2017-10-25,387,5561,0,174,0,6,10,13,1485,0
2017-10-26,350,5354,0,189,0,9,6,6,1528,0
2017-10-27,313,5102,0,162,0,4,4,6,1266,0
2017-10-28,209,4474,0,169,0,8,8,4,1011,0
2017-10-29,289,4396,0,212,0,7,7,11,1234,0
2017-10-30,298,5477,0,285,0,20,13,5,1543,0
2017-10-31,335,5593,0,175,0,13,7,3,1721,0
2017-11-01,299,5398,0,168,0,14,18,7,1594,0
2017-11-02,325,5450,0,166,0,15,10,1,1595,0
2017-11-03,318,5358,0,149,0,11,5,4,1399,0
2017-11-04,263,5050,0,146,0,7,4,1,1115,0
2017-11-05,283,5220,0,139,0,12,10,5,1289,0
2017-11-06,357,6011,0,181,0,11,12,8,1708,0
2017-11-07,361,6080,0,179,0,12,7,11,1779,0
2017-11-08,375,6843,0,165,0,5,5,8,1786,0
2017-11-09,298,7272,0,193,0,11,6,2,1743,0
2017-11-10,274,6847,0,162,0,16,5,4,1427,0
2017-11-11,240,4973,0,163,0,8,7,6,1228,0
2017-11-12,267,5018,0,182,0,12,7,4,1419,0
2017-11-13,345,5602,0,168,0,4,10,1,1735,0
2017-11-14,376,5877,0,177,0,8,5,4,1791,0
2017-11-15,435,5885,0,188,0,15,8,6,1708,0
2017-11-16,347,5711,0,146,0,13,3,3,1793,0
2017-11-17,292,5163,0,142,0,10,14,7,1424,0
2017-11-18,286,4951,0,108,0,14,10,5,1136,0
2017-11-19,308,5198,0,154,0,12,18,8,1312,0
2017-11-20,366,5740,0,158,0,10,15,2,1636,0
2017-11-21,357,5716,0,155,0,16,9,9,1712,0
2017-11-22,348,5679,0,178,0,15,18,5,1628,0
2017-11-23,340,5232,0,136,0,17,2,6,1314,0
2017-11-24,279,4603,0,126,0,6,17,12,1257,0
2017-11-25,268,4439,0,128,0,5,5,6,1031,0
2017-11-26,274,4531,0,180,0,10,5,5,1368,0
2017-11-27,359,5507,0,233,0,13,8,12,1760,0
2017-11-28,384,5817,0,178,0,12,5,17,1781,0
2017-11-29,366,5236,0,155,0,7,4,3,1643,0
2017-11-30,353,4612,0,156,0,15,5,6,1479,0
2017-12-01,355,4463,0,165,0,9,13,10,1336,0
2017-12-02,265,4488,0,124,0,3,4,3,1081,0
2017-12-03,309,4525,0,120,0,7,5,10,1302,0
2017-12-04,386,5371,0,205,0,14,9,5,1632,0
2017-12-05,379,5439,0,141,0,6,7,6,1678,0
2017-12-06,363,5448,0,181,0,8,12,5,1690,0
2017-12-07,323,5214,0,206,0,17,5,6,1726,0
2017-12-08,285,4750,0,162,0,6,6,4,1319,0
2017-12-09,284,4409,0,156,0,3,6,2,1175,0
2017-12-10,244,4570,0,195,0,13,7,5,1350,0
2017-12-11,350,5083,0,216,0,11,7,7,1657,0
2017-12-12,380,5274,0,205,0,19,3,2,1733,0
2017-12-13,352,5113,0,157,0,16,6,6,1654,0
2017-12-14,349,5119,0,155,0,8,6,5,1691,0
2017-12-15,286,4774,0,120,0,14,7,3,1253,0
2017-12-16,271,4401,0,137,0,8,6,5,849,0
2017-12-17,280,4454,0,130,0,7,2,4,1023,0
2017-12-18,338,5092,0,156,0,12,5,6,1224,0
2017-12-19,317,5020,0,139,0,4,3,3,1288,0
2017-12-20,354,4953,0,175,0,10,10,9,1223,0
2017-12-21,336,4705,0,152,0,7,7,6,998,0
2017-12-22,286,4319,0,142,0,4,3,1,895,0
2017-12-23,222,4421,0,135,0,8,6,2,677,0
2017-12-24,208,4240,0,157,0,25,7,5,630,0
2017-12-25,203,4169,0,144,0,5,5,5,622,0
2017-12-26,302,4778,0,152,0,16,5,4,852,0
2017-12-27,368,5306,0,167,0,9,7,9,944,0
2017-12-28,320,6058,0,174,0,12,6,7,927,0
2017-12-29,286,5222,0,245,0,30,11,14,877,0
2017-12-30,290,4966,0,141,0,12,7,10,715,0
2017-12-31,241,4917,0,174,0,6,5,4,604,0
2018-01-01,242,4781,0,186,0,18,11,3,654,0
2018-01-02,380,5654,0,224,0,13,6,7,1046,0
2018-01-03,368,5744,0,362,0,24,15,12,1169,0
2018-01-04,422,5930,0,259,0,11,20,4,1099,0
2018-01-05,396,5636,0,236,0,17,21,6,1114,0
2018-01-06,341,5296,0,226,0,6,12,5,980,0
2018-01-07,387,5351,0,271,0,13,18,9,997,0
2018-01-08,413,5678,0,306,0,24,16,5,1291,0
2018-01-09,417,6224,0,289,0,19,13,14,1357,0
2018-01-10,459,6021,0,295,0,17,35,7,1436,0
